id,full name,email,total rental,total amount
318,Brian Wyman,brian.wyman@sakilacustomer.org,7,27.93
281,Leona Obrien,leona.obrien@sakilacustomer.org,10,32.90
110,Tiffany Jordan,tiffany.jordan@sakilacustomer.org,12,49.88
248,Caroline Bowman,caroline.bowman@sakilacustomer.org,13,37.87
61,Katherine Rivera,katherine.rivera@sakilacustomer.org,13,57.87
272,Kay Caldwell,kay.caldwell@sakilacustomer.org,13,65.87
310,Daniel Cabral,daniel.cabral@sakilacustomer.org,13,68.87
124,Sheila Wells,sheila.wells@sakilacustomer.org,14,57.86
136,Anita Morales,anita.morales@sakilacustomer.org,14,59.86
315,Kenneth Gooden,kenneth.gooden@sakilacustomer.org,14,67.86
